Video ID,Title,Upload Date,Duration,Duration in s,View Count,Like Count,Comment Count
j7ZXF7jbXbY,Helicopter Battleship Battle | Dude Perfect,2019-09-09,10M14S,614,20557482,402171,11330
j9I7jt4Y_-A,World's Weirdest Pillow | OT 11,2019-08-26,20M46S,1246,46451841,579945,21651
Jvy7eXMxE9Y,Editor Edition 2 | Dude Perfect,2019-08-12,8M6S,486,18014319,523805,13871
2lrBphwQOrI,Bass Fishing Battle | Dude Perfect,2019-07-29,8M56S,536,49532245,687523,19356
XMilHdBYZzA,RC Airplane Battle | Dude Perfect,2019-07-15,8M34S,514,45488743,832927,22843
8qwjvDROE4E,World's Best Gaming Room | OT 10,2019-07-01,22M51S,1371,50357529,732880,29228
q9bX7EkMvrA,Metal Detector Battle 2 | Dude Perfect,2019-06-17,10M58S,658,67820113,869162,27934
FjPvXMwTwQo,Plunger Trick Shots | Dude Perfect,2019-06-03,5M13S,313,61534033,1005063,36371
FPg89qonG0E,Laying in a Box of Snakes | OT 9,2019-05-20,24M5S,1445,43868143,570563,28462
2t3GnbhbVCc,Ping Pong Trick Shots 5 | Dude Perfect,2019-05-06,6M41S,401,67803020,1354905,24634
dwV04XuiWq4,All Sports Baseball Battle | Dude Perfect,2019-04-22,11M57S,717,63090590,797885,20872
_YTWwTo6xcY,Nerf Fortnite Blasters Battle | Dude Perfect,2019-04-08,13M20S,800,50310300,753464,22818
uUio9YoGhxo,Real Life Trick Shots Bloopers | OT 8,2019-03-25,19M56S,1196,58257015,730428,34484
OxoOSohmaag,Airplane Trick Shots 2 | Dude Perfect,2019-03-11,6M52S,412,68461281,1270944,32377
qlzVPauUgw8,Real Life Trick Shots 3 | Dude Perfect,2019-02-25,3M20S,200,133509774,2370405,47048
rT9PI5q2Etc,One of us Shaves our Eyebrows 😬 | OT 7,2019-02-11,21M33S,1293,40798151,522900,30958
VOzA2V4HbJA,Super Bowl Stadium Trick Shots | Dude Perfect,2019-01-28,7M33S,453,26309148,482197,17635
uPCi5Rs7EuA,Model Rocket Battle 2 | Dude Perfect,2019-01-14,7M55S,475,185250129,2221238,48882
DXcuvtbotYQ,Dude Perfect Rewind 2018,2018-12-31,6M12S,372,16088905,402387,16174
7y-hKLfeurY,Skiing Stereotypes | Dude Perfect,2018-12-17,8M1S,481,77984273,864974,34447
i25i6vyjIpg,World Record Exercise Ball Surfing | OT 6,2018-12-03,19M29S,1169,81585924,768460,27509
rQWb_oYS1tg,Airsoft Battle Royale | Dude Perfect,2018-11-19,8M54S,534,86428193,1443720,53913
5LZ_G8jRGHg,Dunk Tank FIFA | Dude Perfect,2018-11-05,11M51S,711,40136523,522204,19828
JHiLEkV8l_8,Grocery Store Stereotypes,2018-10-22,6M37S,397,114732058,1147173,63122
-qATVnpaHTo,World's Strongest Laser | OT 5,2018-10-08,16M49S,1009,79096742,913085,42454
4RkZAfD-HeM,Archery Trick Shots 2 | Dude Perfect,2018-09-24,7M33S,453,31823369,610710,31195
6bH9Qb_feRY,High Speed Sports Battle | Dude Perfect,2018-09-10,8M38S,518,36733369,1127460,25099
wSB9JvsBT4M,Bowling Trick Shots 2 | Dude Perfect,2018-08-27,7M36S,456,77304526,952718,27929
muzeGsrYpnQ,Nerf Blasters Floating Island Battle | Dude Perfect,2018-08-13,5M19S,319,99903480,1101991,35452
No8-mBek3rs,All Sports Golf Battle 3 | Dude Perfect,2018-08-06,11M8S,668,73041085,744389,29482
6re9XAwo4b4,Dirt Bike Battle | Dude Perfect,2018-07-30,7M,420,75491070,977133,26755
RohJfM-VFS0,The Net Gun | OT 4,2018-07-16,16M58S,1018,88035431,826072,54859
DkW87-Z9FAY,Ping Pong Trick Shots 4 | Dude Perfect,2018-07-02,5M51S,351,174077490,4497427,58513
QU1byle-nmA,Real Life Rocket League Battle | Dude Perfect,2018-06-18,7M22S,442,43372419,622327,40591
v-dfygYIfLs,Old School Trick Shots | Dude Perfect,2018-06-04,6M41S,401,71157879,1038883,52686
9m9oO84Q2fk,Giant Darts Battle | Dude Perfect,2018-05-21,7M44S,464,69197783,836462,32906
FepIkIILumA,Fortnite with Ninja | OT 3,2018-05-07,16M32S,992,64377606,910747,43401
Hk5dxn5dj2M,Deep Sea Fishing Battle | Dude Perfect,2018-04-23,7M52S,472,105137996,1151838,46876
hYirFqEc8Tg,Crossbow Trick Shots | Dude Perfect,2018-04-09,6M10S,370,36605766,615271,27187
S9KxqRUcnCU,Boomerang Trick Shots | Dude Perfect,2018-03-26,6M11S,371,114655878,2293068,45371
Wh1L0rOaa88,March Madness Stereotypes,2018-03-13,5M48S,348,78422482,758186,32141
MuPL-PSMX0Q,World's Longest LEGO Walk | OT 2,2018-03-05,15M36S,936,63331574,850814,48971
